codigo;descripcion;peso;tipo
REG-RE0010;REGATON REDONDO EXTERIOR X 10 mm;0;REGATONES
REG-RE0012;REGATON REDONDO EXTERIOR X 12 mm;0;REGATONES
REG-RE0016;REGATON REDONDO EXTERIOR X 16 mm;0;REGATONES
REG-RE0019C;REGATON REDONDO EXTERIOR X 19 mm CORTO;0;REGATONES
REG-RE0022C;REGATON REDONDO EXTERIOR X 22 mm CORTO;0;REGATONES
REG-RE0022L;REGATON REDONDO EXTERIOR X 22 mm LARGO;0;REGATONES
REG-RE0019L;REGATON REDONDO EXTERIOR X 19 mm LARGO ;0;REGATONES
REG-RE0025C;REGATON REDONDO EXTERIOR X 25 mm CORTO;0;REGATONES
REG-RE0025L;REGATON REDONDO EXTERIOR X 25 mm LARGO;0;REGATONES
REG-RE0032;REGATON REDONDO EXTERIOR X 32 mm;0;REGATONES
REG-RI0019;REGATON REDONDO INTERIOR X 19 mm;0;REGATONES
REG-RI0022;REGATON REDONDO INTERIOR X 22 mm;0;REGATONES
REG-RI0025;REGATON REDONDO INTERIOR X 25 mm;0;REGATONES
REG-RI0032;REGATON REDONDO INTERIOR X 32 mm;0;REGATONES
REG-RI0038;REGATON REDONDO INTERIOR X 38 mm;0;REGATONES
REG-RI0050;REGATON REDONDO INTERIOR X 50 mm;0;REGATONES
REG-RI0060;REGATON REDONDO INTERIOR X 60 mm;0;REGATONES
REG-RI0070;REGATON REDONDO INTERIOR X 70 mm;0;REGATONES
REG-B00019;REGATON PARA BASTON X 19 mm;0;REGATONES
REG-B00022;REGATON PARA BASTON X 22mm ;0;REGATONES
REG-M00019;REGATON PARA MULETA X 19mm;0;REGATONES
REG-M00022;REGATON PARA MULETA X 22mm;0;REGATONES
REG-CI1515;REGATON CUADRADO 15 X 15 mm;0;REGATONES
REG-CI2020;REGATON CUADRADO 20 X 20 mm;0;REGATONES
REG-CI2525;REGATON CUADRADO 25 X 25 mm;0;REGATONES
REG-CI3030;REGATON CUADRADO 30 X 30 mm;0;REGATONES
REG-CI3535;REGATON CUADRADO 35 X 35 mm;0;REGATONES
REG-CI4040;REGATON CUADRADO 40 X 40 mm;0;REGATONES
REG-CI5050;REGATON CUADRADO 50 X 50 mm;0;REGATONES
REG-CI2030;REGATON RECTANGULAR 20 X 30;0;REGATONES
REG-CI2040;REGATON RECTANGULAR 20 X 40;0;REGATONES
REG-CI3050;REGATON RECTANGULAR 30 X 50;0;REGATONES
REG-A00114;REGATON ANGULAR DE 1 1/4 ;0;REGATONES
REG-CE2525;REGATON CUADRADO EXTERIOR 25 X 25 mm;0;REGATONES
REG-CE2020;REGATON CUADRADO EXTERIOR 20 X 20 mm;0;REGATONES
TAP-000100;TAPON # 1 ;0;TAPONES
TAP-001316;TAPON # 1 3/16;0;TAPONES
TAP-000112;TAPON # 1 1/2  ;0;TAPONES
TAP-000134;TAPON # 1 3/4  ;0;TAPONES
TAP-000178;TAPON # 1 7/8  ;0;TAPONES
TAP-000200;TAPON # 2 ;0;TAPONES
TAP-000218;TAPON # 2 1/8  ;0;TAPONES
TAP-000214;TAPON # 2 1/4;0;TAPONES
TOP-PP0000;TOPE PLANO PEQUE O ;0;TOPES
TOP-PM0000;TOPE PLANO MEDIANO ;0;TOPES
TOP-PGB000;TOPE PLANO GRANDE-B  ;0;TOPES
TOP-PGA000;TOPE PLANO GRANDE-A;0;TOPES
TOP-C00001;TOPE CONO # 1;0;TOPES
TOP-C00002;TOPE CONO # 2;0;TOPES
TOP-C00003;TOPE CONO # 3;0;TOPES
DIS-GR0008;GOMAS REDONDAS 8 CM;0;DISCOS
DIS-C00000;DISCOS PARA CLAVO  ;0;DISCOS
EMP-GP0012;GOMAS PARA PILA 1/2;0;EMPAQUES
PUN-GG0000;PUNTERAS PARA GARRAFA DE GAS ;0;PUNTERAS
EMP-AGG000;ANILLAS PARA GARRAFA DE GAS  ;0;EMPAQUES
VAR-LL0001;LLANTITAS DE 1;0;VARIOS
VAR-LLC000;LLANTITAS CUARTAS;0;VARIOS
VAR-B00012;BOLITAS DE 1/2;0;VARIOS
